batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-002,158,P2,37,532,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,todaylaunches.com,unknown,unknown,missing_domain,needs_manual_review,https://todaylaunches.com/,todaylaunches.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 129:url; directory-submissions-external-links.md:131,,
p2-002,159,P2,37,538,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,toolsfine.com,unknown,unknown,missing_domain,needs_manual_review,https://toolsfine.com/,toolsfine.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 131:url; directory-submissions-external-links.md:133,,
p2-002,160,P2,37,540,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,trustmrr.com,unknown,unknown,missing_domain,needs_manual_review,https://trustmrr.com/,trustmrr.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 133:url; directory-submissions-external-links.md:135,,
p2-002,161,P2,37,542,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,tumblr.com,unknown,unknown,missing_domain,needs_manual_review,https://www.tumblr.com/,tumblr.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 257:url; directory-submissions-external-links.md:259,,
p2-002,162,P2,37,543,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,tupalo.com,unknown,unknown,missing_domain,needs_manual_review,https://tupalo.com/,tupalo.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 134:url; directory-submissions-external-links.md:136,,
p2-002,163,P2,37,549,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,warriorforum.com,unknown,unknown,missing_domain,needs_manual_review,https://www.warriorforum.com/,warriorforum.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 258:url; directory-submissions-external-links.md:260,,
p2-002,164,P2,37,551,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,webdesign-inspiration.com,unknown,unknown,missing_domain,needs_manual_review,https://webdesign-inspiration.com/,webdesign-inspiration.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 136:url; directory-submissions-external-links.md:138,,
p2-002,165,P2,37,552,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,webmasterworld.com,unknown,unknown,missing_domain,needs_manual_review,https://www.webmasterworld.com/,webmasterworld.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 260:url; directory-submissions-external-links.md:262,,
p2-002,166,P2,37,554,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,weebly.com,unknown,unknown,missing_domain,needs_manual_review,https://www.weebly.com/,weebly.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 262:url; directory-submissions-external-links.md:264,,
p2-002,167,P2,37,555,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wefunder.com,unknown,unknown,missing_domain,needs_manual_review,https://wefunder.com/,wefunder.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 137:url; directory-submissions-external-links.md:139,,
